"Property Type","Status","Property Style","List Price","List Date","City Name","Zip Code","Year Built","Heated (Living) Area","Bedrooms","Bathrooms","Pool","Waterfront (Y/N)","Sale Price","Sale Date"
"RES","SOLD","","240000","4/1/22","ORLANDO","32807","1953","1323","2","1","t","f","240000","4/1/22"
"RES","SOLD","","260000","4/1/22","ORLANDO","32809","1964","1175","4","2","t","f","260000","4/1/22"
"RES","SOLD","SINGLE FAMILY RESIDENCE","600000","4/1/22","ORLANDO","32828","1996","2603","5","2","t","f","600000","4/1/22"
"RES","SOLD","SINGLE FAMILY RESIDENCE","399000","9/8/21","ORLANDO","32824","2007","1622","3","2","t","f","399000","4/1/22"
"RES","SOLD","SINGLE FAMILY RESIDENCE","471429","5/23/21","ORLANDO","32833","2021","2300","4","3","t","f","471429","4/1/22"
"RES","SOLD","SINGLE FAMILY RESIDENCE","2530000","8/16/21","ORLANDO","32836","2004","4562","6","5.5","t","t","2530000","4/1/22"
"RES","SOLD","SINGLE FAMILY RESIDENCE","380000","8/27/21","ORLANDO","32821","1988","1414","3","2","t","f","380000","4/1/22"
"RES","SOLD","SINGLE FAMILY RESIDENCE","280800","9/14/21","ORLANDO","32835","1986","1472","3","2","t","f","280800","4/1/22"
"RES","SOLD","SINGLE FAMILY RESIDENCE","373000","10/9/21","ORLANDO","32828","1993","1783","3","2","t","f","373000","4/1/22"
"RES","SOLD","SINGLE FAMILY RESIDENCE","870000","2/24/22","ORLANDO","32820","2014","4547","4","4.5","t","f","870000","4/1/22"
"RES","SOLD","SINGLE FAMILY RESIDENCE","194000","11/2/21","ORLANDO","32818","1962","918","1","1","t","f","194000","4/1/22"
"RES","SOLD","SINGLE FAMILY RESIDENCE","426100","1/19/22","ORLANDO","32819","1983","2526","4","2.5","t","f","426100","4/1/22"
"RES","SOLD","SINGLE FAMILY RESIDENCE","150000","12/30/21","ORLANDO","32810","1948","1208","2","2","t","f","150000","4/1/22"
"RES","SOLD","1/2 DUPLEX","216000","1/5/22","ORLANDO","32817","1984","936","2","2","t","f","216000","4/1/22"
"RES","SOLD","SINGLE FAMILY RESIDENCE","325000","12/13/21","ORLANDO","32804","1930","1056","2","1","t","f","325000","4/1/22"
"RES","SOLD","SINGLE FAMILY RESIDENCE","285000","1/13/22","ORLANDO","32822","1999","1795","4","2","t","f","285000","4/1/22"
"RES","SOLD","CONDOMINIUM","700000","1/13/22","ORLANDO","32801","2005","2035","3","2.5","t","f","700000","4/1/22"
"RES","SOLD","SINGLE FAMILY RESIDENCE","460000","1/20/22","ORLANDO","32828","2002","1749","3","2","t","f","460000","4/1/22"
"RES","SOLD","CONDOMINIUM","115800","1/24/22","ORLANDO","32810","1975","955","2","2","t","f","115800","4/1/22"
"RES","SOLD","SINGLE FAMILY RESIDENCE","285000","1/22/22","ORLANDO","32818","1960","1763","3","2","t","f","285000","4/1/22"
"RES","SOLD","SINGLE FAMILY RESIDENCE","225000","1/25/22","ORLANDO","32808","1955","1259","4","2","t","f","225000","4/1/22"
"RES","SOLD","CONDOMINIUM","270000","1/21/22","ORLANDO","32839","2006","1457","3","2","t","f","270000","4/1/22"
"RES","SOLD","SINGLE FAMILY RESIDENCE","1250000","2/3/22","ORLANDO","32817","1994","3418","4","3","t","t","1250000","4/1/22"
"RES","SOLD","SINGLE FAMILY RESIDENCE","335000","2/1/22","ORLANDO","32828","1993","1441","3","2","t","f","335000","4/1/22"
"RES","SOLD","SINGLE FAMILY RESIDENCE","393100","2/1/22","ORLANDO","32824","2005","2287","4","2.5","t","f","393100","4/1/22"
"RES","SOLD","SINGLE FAMILY RESIDENCE","1350000","2/4/22","ORLANDO","32825","2005","5376","5","4.5","t","f","1350000","4/1/22"
"RES","SOLD","SINGLE FAMILY RESIDENCE","456000","1/31/22","ORLANDO","32828","1994","1898","4","2","t","f","456000","4/1/22"
"RES","SOLD","CONDOMINIUM","235900","2/16/22","ORLANDO","32822","2005","1107","2","2","t","f","235900","4/1/22"
"RES","SOLD","CONDOMINIUM","172000","2/5/22","ORLANDO","32812","1973","870","2","2","t","f","172000","4/1/22"
"RES","SOLD","SINGLE FAMILY RESIDENCE","545000","2/4/22","ORLANDO","32828","2006","3114","4","3","t","f","545000","4/1/22"
"RES","SOLD","SINGLE FAMILY RESIDENCE","662000","2/8/22","ORLANDO","32820","2004","3286","6","4","t","f","662000","4/1/22"
"RES","SOLD","SINGLE FAMILY RESIDENCE","325000","2/12/22","ORLANDO","32804","1945","783","2","1","t","f","325000","4/1/22"
"RES","SOLD","SINGLE FAMILY RESIDENCE","424777","2/11/22","ORLANDO","32810","1940","2600","4","3","t","f","424777","4/1/22"
"RES","SOLD","CONDOMINIUM","325000","2/2/22","ORLANDO","32832","2006","1771","3","2.5","t","f","325000","4/1/22"
"RES","SOLD","SINGLE FAMILY RESIDENCE","425000","2/10/22","ORLANDO","32829","2004","2170","4","2","t","f","425000","4/1/22"
"RES","SOLD","SINGLE FAMILY RESIDENCE","455000","2/23/22","ORLANDO","32828","2002","1908","4","2","t","f","455000","4/1/22"
"RES","SOLD","SINGLE FAMILY RESIDENCE","365000","2/16/22","ORLANDO","32837","1991","1385","3","2","t","f","365000","4/1/22"
"RES","SOLD","SINGLE FAMILY RESIDENCE","489000","2/14/22","ORLANDO","32825","2001","2434","4","2.5","t","f","489000","4/1/22"
"RES","SOLD","SINGLE FAMILY RESIDENCE","380000","2/16/22","ORLANDO","32810","2000","2156","4","2.5","t","f","380000","4/1/22"
